UID,Declaration_date,Ceasefire_start,Ceasefire_termination,Country_entity,Region_entity,UCDP_code,Longitude_central,Latitude_central,Declaration_type,Reciprocated,Actors,Actors_type,PDF,Headline,Information,Past_agreements,Past_ceasefires,Sources,Media,Media_credit,Media_caption
C10-1,2020-03-23,,,United Nations,worldwide,N/A,,,Related event,0,UN Secretary-General António Guterres,Non-state,,UN Secretary General calls for global ceasefire,"On 23 March 2020, United Nations Secretary General António Guterres called for a global ceasefire to stop violent conflict in support of the fight against the COVID-19 pandemic.",,,https://news.un.org/en/story/2020/03/1059972,https://youtu.be/JH9sZxVlpDo,,
C10-2,2020-07-01,,,United Nations,worldwide,N/A,,,Related event,0,UN Security Council (UNSC),Non-state,,UN Security Council adopts resolution backing global ceasefire call,"More than three months after UN Secretary General (UNSG) Antonio Guterres called for a global ceasefire, the UN Security Council (UNSC) unanimously voted in favour of a resolution backing the call. The newly adopted Resolution 2530 (2020) stated that the UNSC's call upon conlict parties to engage in a ""durable humanitarian pause"", which should last for at least 90 days. Excluded from this call are operations  against Council-designated terrorist groups such as Da'esh, Al Qaeda and Al Nusra Front. UNSG GUterres welcomed the resolution and the UNSC's recognition of his appeal for a global ceasefire.",,,"https://news.un.org/en/story/2020/07/1067552

https://www.un.org/sg/en/content/sg/note-correspondents/2020-07-01/note-correspondents-answer-questions-regarding-the-unanimous-adoption-of-the-security-council-resolution-covid-19",,,
C11-1,2020-03-29,,,Colombia,"North, northeast and southwest Colombia and Venezuela border regions",289,-74.0817,4.6097,Unilateral ceasefire,0,National Liberation Army/Ejército de Liberación Nacional (ELN),Non-state,https://www.politicalsettlements.org/wp-content/uploads/2020/06/Colombia-ELN-Ceasefire-Text.pdf,ELN announce unilateral ceasefire,"The National Liberation Army (ELN) announced a temporary unilateral ceasefire with the Colombian government on 29/03/2020, as ""humanitarian gesture"" in the face of COVID-19. The statement reserved the right of the ELN to defend itself against ""attacks by state forces, made up of regular troops, paramilitaries and drug gangs in various regions of the country"" and urged the Iván Duque governement to suspend military operations and to resume dialogue with ELN delegates in Cuba to agree on a bilateral and temporary cessation. The ELN also made other demands in the statement including the release of political prisoners, the free provision of the COVID-19 test kits and that ""health must once again be an inalienable right, mandatory coverage by the State"", among others.",https://www.peaceagreements.org/searchadv?SearchForm%5Bregion%5D%5B%5D=2&SearchForm%5Bcountry_entity%5D%5B%5D=32&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bversion%5D=&s=Search+Database&timeline,https://www.peaceagreements.org/searchadv?SearchForm%5Bregion%5D%5B%5D=2&SearchForm%5Bcountry_entity%5D%5B%5D=32&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bagreement_stage_sub%5D%5B%5D=Ceasefire%2Frelated&SearchForm%5Bversion%5D=&s=Search+Database&timeline,"https://www.telesurtv.net/news/colombia-eln-declara-cese-fuego-unilateral-coronavirus-20200330-0002.html
 
https://www.bbc.com/news/world-latin-america-52090169
  
https://www.crisisgroup.org/latin-america-caribbean/andes/colombia/b24-broken-ties-frozen-borders-colombia-and-venezuela-face-covid-19
  
https://colombiareports.com/colombias-eln-rebels-reject-peace-negotiators/",https://www.politicalsettlements.org/wp-content/uploads/2020/06/Colombia-ELN-Ceasefire-Text.png,,
C11-2,2020-04-01,2020-04-01,2020-04-30,Colombia,"North, northeast and southwest Colombia and Venezuela border regions",289,-74.0817,4.6097,Unilateral ceasefire,0,National Liberation Army/Ejército de Liberación Nacional (ELN),Non-state,https://www.politicalsettlements.org/wp-content/uploads/2020/06/Colombia-ELN-Ceasefire-Text.pdf,ELN ceasefire commences,"The temporary unilateral ceasefire by the National Liberation Army (ELN) with the Colombian government, which was announced on 29/03/2020, commences. It was not reciprocated by the Colombian government. It was termed as ""insufficient"" by the Colombian government's High Commissioner for Peace Miguel Ceballos, who called for the ELN to “extend [its] terms indefinitely” and comply with the Government's set pre-conditions for resuming peace negotiations.",https://www.peaceagreements.org/searchadv?SearchForm%5Bregion%5D%5B%5D=2&SearchForm%5Bcountry_entity%5D%5B%5D=32&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bversion%5D=&s=Search+Database&timeline,https://www.peaceagreements.org/searchadv?SearchForm%5Bregion%5D%5B%5D=2&SearchForm%5Bcountry_entity%5D%5B%5D=32&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bagreement_stage_sub%5D%5B%5D=Ceasefire%2Frelated&SearchForm%5Bversion%5D=&s=Search+Database&timeline,"https://www.telesurtv.net/news/colombia-eln-declara-cese-fuego-unilateral-coronavirus-20200330-0002.html
 
https://www.bbc.com/news/world-latin-america-52090169
  
https://www.crisisgroup.org/latin-america-caribbean/andes/colombia/b24-broken-ties-frozen-borders-colombia-and-venezuela-face-covid-19
  
https://colombiareports.com/colombias-eln-rebels-reject-peace-negotiators/",https://www.politicalsettlements.org/wp-content/uploads/2020/06/Colombia-ELN-Ceasefire-Text.png,,
C11-3,2020-04-27,,,Colombia,"North, northeast and southwest Colombia and Venezuela border regions",289,-74.0817,4.6097,Update to ceasefire,0,National Liberation Army/Ejército de Liberación Nacional (ELN),Non-state,,ELN announces ceasefire would not be extended,"The National Liberation Army (ELN) published a statement on 27/04/2020 announcing that it would not extend its unilateral ceasefire and resume military operations on 01/05/2020. The group cited the ""unfortunate"" unreciprocated response from the Colombian government as the reason for not extending the ceasefire and accused the Colombian government of taking advantage of the unilateral cessation.

The Colombian government's High Commissioner for Peace Miguel Ceballos rejected the ELN’s decision, terming it as a ""move away from the reality of the country"" and demanded a permanent ceasefire, release of hostages and forcibly recruited minors, as well as a halt to anti-personnel mine installation. Ceballos had shown no interest in a bilateral ceasefire.",https://www.peaceagreements.org/searchadv?SearchForm%5Bregion%5D%5B%5D=2&SearchForm%5Bcountry_entity%5D%5B%5D=32&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bversion%5D=&s=Search+Database&timeline,https://www.peaceagreements.org/searchadv?SearchForm%5Bregion%5D%5B%5D=2&SearchForm%5Bcountry_entity%5D%5B%5D=32&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bagreement_stage_sub%5D%5B%5D=Ceasefire%2Frelated&SearchForm%5Bversion%5D=&s=Search+Database&timeline,"https://www.telesurtv.net/news/gobierno-colombiano-exige-eln-cese-fuego-permanente-20200429-0004.html

https://colombiareports.com/eln-ends-coronavirus-ceasefire-weeks-ahead-of-expected-peak-in-infections/

https://twitter.com/ELTIEMPO/status/1255246836295708674",https://www.politicalsettlements.org/wp-content/uploads/2020/06/ELN_grafitti.jpg,"by KyleEJohnson, licensed under CC BY-NC-ND 2.0.",EN Grafitti
C11-4,2020-05-04,,,Colombia,"North, northeast and southwest Colombia and Venezuela border regions",289,-74.0817,4.6097,Related event,0,National Liberation Army/Ejército de Liberación Nacional (ELN),Non-state,,ELN adopts no-first-strike-policy for COVID-19 period,"On 04/05/2020, the National Liberation Army (ELN) announced it would adopt a defensive strategy during the COVID-19 pandemic. Former peace negotiator Pablo Beltran, a member of the guerrilla group’s Central Command, said that following the one-month ceasefire that ended on 30/04/2020, the group “will not have attack plans, but defense plans.” ELN leadership also urged a bilateral ceasefire and called on the UN and Pope Francis to lobby for this with the Colombian government.

The focus of the High Commissioner for Peace is currently on promoting the individual demobilisation of ELN members, having passed a decree that allows members of illegal armed groups, including the ELN, to capitulate to the justice system and be allowed to take part in a reintegration program.The Commissioner reported that 20 ELN guerrillas had demobilized in the southwestern Cauca province at the beginning of May 2020.",https://www.peaceagreements.org/searchadv?SearchForm%5Bregion%5D%5B%5D=2&SearchForm%5Bcountry_entity%5D%5B%5D=32&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bversion%5D=&s=Search+Database&timeline,https://www.peaceagreements.org/searchadv?SearchForm%5Bregion%5D%5B%5D=2&SearchForm%5Bcountry_entity%5D%5B%5D=32&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bagreement_stage_sub%5D%5B%5D=Ceasefire%2Frelated&SearchForm%5Bversion%5D=&s=Search+Database&timeline,https://colombiareports.com/colombias-eln-rebels-have-no-offensive-plans-but-defensive-plans-during-coronavirus-crisis/,,,
C11-5,2020-05-29,,,Colombia,"North, northeast and southwest Colombia and Venezuela border regions",289,-74.0817,4.6097,Update to ceasefire,0,National Liberation Army/Ejército de Liberación Nacional (ELN),Non-state,,ELN and Government discuss potential ceasefire,"Head of negotiating team of the National Liberation Army (ELN), Pablo Beltrán, stated that the ELN would be willing to participate in a three-month global ceasefire that is being discussed at the United Nations to contain the spread of the coronavirus. He says that the group hopes that President Iván Duque will also support the cessation of hostilities.

President Duque demands from the ELN that a unilateral cessation of hostilities must include the suspension of kidnappings, the release of unlawfully detained prisoners, the commitment not to recruit minors and to abandon the use of antipersonnel mines.",https://www.peaceagreements.org/searchadv?SearchForm%5Bregion%5D%5B%5D=2&SearchForm%5Bcountry_entity%5D%5B%5D=32&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bversion%5D=&s=Search+Database&timeline,https://www.peaceagreements.org/searchadv?SearchForm%5Bregion%5D%5B%5D=2&SearchForm%5Bcountry_entity%5D%5B%5D=32&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bagreement_stage_sub%5D%5B%5D=Ceasefire%2Frelated&SearchForm%5Bversion%5D=&s=Search+Database&timeline,https://lta.reuters.com/articulo/colombia-guerrilla-idLTAKBN2352CC-OUSLT,https://www.politicalsettlements.org/wp-content/uploads/2015/07/6054446879_e2a27ffd46_z-copy-1.jpg,Creative Commons,
C11-6,2020-06-14,,,Colombia,"North, northeast and southwest Colombia and Venezuela border regions",289,-74.0817,4.6097,Related event,0,National Liberation Army/Ejército de Liberación Nacional (ELN),Non-state,,ELN realeases six hostages in hope of resuming peace talks,"After two prisoners had been released on 12/06/2020, the rebel group National Liberation Army (ELN) freed another six hostages on 14/06/2020 amid pleas for the resumption of peace talks between the group and the Colombian government.",https://www.peaceagreements.org/searchadv?SearchForm%5Bregion%5D%5B%5D=2&SearchForm%5Bcountry_entity%5D%5B%5D=32&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bversion%5D=&s=Search+Database&timeline,https://www.peaceagreements.org/searchadv?SearchForm%5Bregion%5D%5B%5D=2&SearchForm%5Bcountry_entity%5D%5B%5D=32&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bagreement_stage_sub%5D%5B%5D=Ceasefire%2Frelated&SearchForm%5Bversion%5D=&s=Search+Database&timeline,"https://www.bbc.co.uk/news/world-latin-america-53049890

https://www.thestkittsnevisobserver.com/eln-releases-6-hostages-wants-peace-talks/

https://www.latinousa.org/2020/06/16/colombiaselnreleases/

https://www.icrc.org/es/document/colombia-liberacion-de-seis-personas-en-norte-de-santander",https://www.politicalsettlements.org/wp-content/uploads/2016/12/20160825_142626.jpg,"by Gwen Burnyeat, all rights reserved","School-Children in Pereira draw their hopes for peace, August 2016"
C12-1,2020-03-25,,,Cameroon,North-West and South-West regions of Ambazonia/ Southern Cameroons,14129,11.5167,3.8667,Unilateral ceasefire,0,Southern Cameroons Defence Forces (SOCADEF),Non-state,https://www.politicalsettlements.org/wp-content/uploads/2020/06/Cameroon-SOCADEF-Ceasefire-Text.pdf,Southern Cameroons Defence Forces declare two-week ceasefire,"The Southern Cameroons Defence Forces (SOCADEF), an Ambazonian separatist movement, declared a two-week ceasefire with the Cameroon government on 25/03/2020, announcing that the cessation of violence would ""permit international humanitarian preparation for COVID-19 prevention"". 
 
The Revolutionary High Command Council (REHCOCO) ordered all combat units of SOCADEF and its affiliates operating in nine of the thirteen counties of Ambazonia to stand down but to maintain positions with combat readiness to defend for 14 days. The statement also called on La Republique du Cameroun’s (LRC) forces to stand down or remain in position but not to attack Ambazonians.",https://www.peaceagreements.org/searchadv?SearchForm%5Bregion%5D%5B%5D=1&SearchForm%5Bcountry_entity%5D%5B%5D=24&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bversion%5D=&s=Search+Database&timeline,N/A,"https://acleddata.com/2020/05/13/call-unanswered-un-appeal/

https://mimimefoinfos.com/socadef-heeds-to-uns-call-agrees-to-stand-down-for-14-days 
 
 https://www.bbc.co.uk/news/world-africa-52053738 
 
 https://www.bbc.com/news/world-africa-52551848 
 
 https://cameroonvoice.com/news/2020/04/13/cameroon-covid-19-allow-aid-access-amid-pandemic-human-rights-watch-recommendation/",https://www.politicalsettlements.org/wp-content/uploads/2020/06/Cameroon-SOCADEF-Ceasefire-Text.png,,
C12-2,2020-03-29,2020-03-29,2020-04-12,Cameroon,North-West and South-West regions of Ambazonia/ Southern Cameroons,14129,11.5167,3.8667,Unilateral ceasefire,0,Southern Cameroons Defence Forces (SOCADEF),Non-state,https://www.politicalsettlements.org/wp-content/uploads/2020/06/Cameroon-SOCADEF-Ceasefire-Text.pdf,Southern Cameroons Defence Forces ceasefire commences,"The two-week ceasefire of the Southern Cameroons Defence Forces (SOCADEF) with the Cameroon government commences. It was declared on 25/03/2020. SOCADEF is the only separatist group (out of 15 groups) to have stopped fighting because of the pandemic in the North-West and South-West regions. The Ambazonia Governing Council, which is one of the biggest groups, said that a unilateral ceasefire would open the way for government troops to march unopposed into territory under its control. The Cameroonian government did not reciprocate the ceasefire, with clashes between military and separatists continuing throughout April.",https://www.peaceagreements.org/searchadv?SearchForm%5Bregion%5D%5B%5D=1&SearchForm%5Bcountry_entity%5D%5B%5D=24&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bversion%5D=&s=Search+Database&timeline,N/A,"https://mimimefoinfos.com/socadef-heeds-to-uns-call-agrees-to-stand-down-for-14-days 
 
 https://www.bbc.co.uk/news/world-africa-52053738 
 
 https://www.bbc.com/news/world-africa-52551848 
 
 https://cameroonvoice.com/news/2020/04/13/cameroon-covid-19-allow-aid-access-amid-pandemic-human-rights-watch-recommendation/",https://www.politicalsettlements.org/wp-content/uploads/2020/06/Cameroon-SOCADEF-Ceasefire-Text.png,,
