"","CaseID","Country","StartYear","EndYear","Startmonth","Endmonth","Designation of the Event(s)","Public Health Activities","Children","Mothers_women","Others","Target Population(s)","Polio","Measles","Diphtheria","Pertussis","Tetanus","Cholera","Rubella","Other","Target Public Health Issue(s)","Parties Involved","UN_involved","UCDP_conflict","UCDP2","UCDP3","ISO3","cases","gwno","Startdate","Enddate"
"1","1","Afghanistan","1994","1994","11","11","Days of Tranquillity/Mass Immunisation Campaign (4)","Vaccination Campaign","1","1","0","Children, mothers (4)","1","1","1","1","1","0","0","0","Polio, measles, diptheria, pertussis, and tetanus (Children), tetanus (Women) (4, 5, 7)","Taliban (3), UNICEF, Ministry of Public Health (4), WHO, UNHCR, WFP","1","333","NA","NA","AFG","1","700","1994-11-01","1994-11-28"
"2","2","Afghanistan","1995","1995","4","6","Days of Tranquillity/Mass Immunisation Campaign (4)/Health Ceasefire (6)","Vaccination Campaign","1","1","0","Children, mothers (4)","1","1","1","1","1","0","0","0","Polio, measles, diptheria, pertussis, and tetanus (Children), tetanus (Women) (4, 5, 7)","Taliban (3), UNICEF, Ministry of Public Health (4), WHO, UNHCR, WFP","1","333","NA","NA","AFG","1","700","1995-04-01","1995-06-28"
"3","3","Afghanistan","1996","1996","6","7","Days of Tranquillity","Vaccination Campaign","1","1","0","Children, mothers (4)","1","0","0","0","0","0","0","0","Polio (children)","UNICEF, Taliban","1","333","NA","NA","AFG","1","700","1996-06-01","1996-07-28"
"4","4","Afghanistan","1996","1996","7","8","Days of Tranquillity","Vaccination Campaign","1","1","0","Children, mothers (4)","1","0","0","0","0","0","0","0","Polio (children)","UNICEF, Taliban","1","333","NA","NA","AFG","1","700","1996-07-01","1996-08-28"
"5","5","Afghanistan","1997","1997","4","5","Days of Tranquillity (3)","Vaccination Campaign","1","0","0","Children","1","0","0","0","0","0","0","0","Polio","UNICEF, WHO, Rotary, Taliban, northern coalition","1","333","NA","NA","AFG","1","700","1997-04-01","1997-05-28"
"6","6","Afghanistan","1998","1998","5","5","Days of Tranquillity","Vaccination Campaign","1","0","0","Children","1","0","0","0","0","0","0","0","Polio","UNICEF, Taliban, other international organisations and NGOs","1","333","NA","NA","AFG","1","700","1998-05-01","1998-05-28"
"7","7","Afghanistan","1999","1999","5","6","Days of Tranquillity (1)","Vaccination Campaign, Vitamin provision (6)","1","0","0","Children","1","0","0","0","0","0","0","1","Polio, vitamin A provision","UNICEF, Taliban, Northern Alliance","1","333","NA","NA","AFG","1","700","1999-05-01","1999-06-28"
"8","8","Afghanistan","2000","2000","5","6","Days of Tranquillity (1)","Vaccination Campaign","1","0","0","Children","0","0","0","0","0","0","0","0","NA","UNICEF, Taliban, Northern Alliance","1","333","NA","NA","AFG","1","700","2000-05-01","2000-06-28"
"9","9","Afghanistan","2000","2000","6","6","Days of Tranquillity/Ceasefire","Vaccination Campaign","1","0","0","Children","1","0","0","0","0","0","0","0","Polio","UNICEF, Taliban, Northern Alliance","1","333","NA","NA","AFG","1","700","2000-06-01","2000-06-28"
"10","10","Afghanistan","2000","2000","10","11","Days of Tranquillity (1)","Vaccination Campaign","1","0","0","Children","0","0","0","0","0","0","0","0","NA","UNICEF, Taliban, Northern Alliance","1","333","NA","NA","AFG","1","700","2000-10-01","2000-11-28"
"11","11","Afghanistan","2000","2000","11","11","Days of Tranquillity/Ceasefire","Vaccination Campaign","1","0","0","Children","1","0","0","0","0","0","0","0","Polio","UNICEF","1","333","NA","NA","AFG","1","700","2000-11-01","2000-11-28"
"12","12","Afghanistan","2001","2001","3","3","Days of Tranquillity/National Immunisation Days","Vaccination Campaign","1","0","0","Children","1","0","0","0","0","0","0","0","Polio","UNICEF, WHO, Northern Alliance, Taliban","1","333","NA","NA","AFG","1","700","2001-03-01","2001-03-28"
"13","13","Afghanistan","2001","2001","4","4","Days of Tranquillity/National Immunisation Days","Vaccination Campaign","1","0","0","Children","1","0","0","0","0","0","0","0","Polio","UNICEF, WHO, Northern Alliance, Taliban","1","333","NA","NA","AFG","1","700","2001-04-01","2001-04-28"
"14","14","Afghanistan","2001","2001","5","5","Days of Tranquillity/National Immunisation Days","Vaccination Campaign","1","0","0","Children","1","0","0","0","0","0","0","0","Polio","UNICEF, WHO, Northern Alliance, Taliban","1","333","NA","NA","AFG","1","700","2001-05-01","2001-05-28"
"15","15","Afghanistan","2007","2007","9","9","Peace Day","Vaccination Campaign","1","0","0","Children","1","0","0","0","0","0","0","0","Polio","Government of Afghanistan, WHO, ICRC, UNICEF, Taliban, Red Crescent","1","333","NA","NA","AFG","1","700","2007-09-01","2007-09-28"
"16","16","Afghanistan","2008","2008","9","9","Peace Day","Vaccination Campaign","1","0","0","Children","1","0","0","0","0","0","0","0","Polio","WHO, Taliban, Government of Afghanistan, International Forces","1","333","NA","NA","AFG","1","700","2008-09-01","2008-09-28"
"17","17","Afghanistan","2009","2009","NA","NA","Ceasefire","Provision of treatment and patient evacuation","0","0","0","NA","0","0","0","0","0","1","0","0","Cholera","ICRC, WHO, Ministry of Public Health, US forces, ""armed opposition"" (1)","1","333","NA","NA","AFG","1","700","NA","NA"
"18","18","Burundi","2001","2001","8","9","Days of Tranquillity (1)","Vaccination Campaign, Vitamin Supply","1","0","0","Children","1","1","0","0","0","0","0","1","Polio, measles, vitamin A supplement","UN, FDD, FNL","1","287","NA","NA","BDI","1","516","2001-08-01","2001-09-28"
"19","19","DRC","1999","1999","8","10","Days of Tranquillity","Vaccination Campaign, Vitamin Supply (4)","1","0","0","Children","1","1","0","0","0","0","0","1","Polio, measles, vitamin A supplement","UN, ICRC (check), WHO, USAID (1)","1","283","NA","NA","COD","1","490","1999-08-01","1999-10-28"
