Title,Summary,Datasets,Contributors,Link
Peace Agreement Signatory Dashboard,"A network dashboard template mapping actors' involvement in peace and transition processes, using the PA-X and PAA-X (Peace Agreement Actor) datasets.",PAA-X; PA-X,Jinrui Wang; Niamh Henry; Benjamin Bach; Sanja Badanjak; Christine Bell,https://www.peaceagreements.org/visualizations/actor-networks/
Implementation Narratives Tracker,"A dashboard tracking implementation records against peace agreement provisions by topic, using PA-X and Implementation Reports data.",PA-X; Implementation Reports,Roy Gardner; Jinrui Wang; Niamh Henry,https://pax.peaceagreements.org/tracker/south-sudan/narrative-implementation
PA-X Local Agreements Map,"A map of agreements addressing local issues, local actors, and local/communal violent conflict, using the PA-X Local dataset.",PA-X Local,Tomas Vancisin; Niamh Henry,https://www.peaceagreements.org/visualizations/local-agreements/
Sudan Mediation Analysis,"A dashboard analysing Sudan and South Sudan mediation processes, using pilot data from GLO-PAD.",GLO-PAD,Tomas Vancisin; Mateja Peter; Niamh Henry,https://south-sudan-mediation.onrender.com/
Third Party in Peace Agreements Storytelling,"A scrollytelling piece tracing practical third-party involvement in peace processes over time, stage, and location, using the PAA-X and PA-X datasets.",PAA-X; PA-X,Tomas Vancisin; Mateja Peter; Niamh Henry; Sanja Badanjak,https://www.peaceagreements.org/visualizations/third-party-scroll/
PA-X Tracker Globe,"An interactive globe giving a world snapshot of ongoing peace processes and conflict levels, using PA-X, UCDP, and ACLED data.",PA-X; UCDP; ACLED,Tomas Vancisin; Niamh Henry,https://globe-tracker.onrender.com
Peace Agreement Signatories Network Analysis,"A network-analysis dashboard examining the presence or absence of signatories across peace agreements, using the PAA-X dataset.",PAA-X,Roy Gardner; Niamh Henry; Sanja Badanjak,https://peacerep.org/signatories-network-analysis/
Semantic Mapping: Peace Agreements — Constitutions,"A timeline and bar-chart analysis of how peace agreements influence subsequent constitutions, using semantic mapping of similar provisions, drawing on PA-X agreement data.",PA-X,Roy Gardner,https://peacerep.org/mapping-agreement-provisions-onto-constitution-texts/
Ukraine Conflict Map,"An interactive map layering conflict dynamics of the Russia-Ukraine war — violence events, conflict deaths, ethnic composition, power infrastructure, and humanitarian corridors — using data from ACLED, UCDP, EPR, the Global Power Plant Database, and PeaceRep/partner humanitarian-corridor research.",ACLED; UCDP; EPR; Power Plants; Humanitarian Corridors,Sarah Schöttler; Benjamin Bach; Niamh Henry,https://pax.peaceagreements.org/tracker/ukraine/map
Timelines of Institutional Change,"Interactive timelines of formal institutional change in a selected country — peace and local agreements, constitutional events, amnesties, elections, and coups — using PA-X, Colpus, Constitute, NELDA, and Amnesties data.",PA-X; Colpus; Constitute; NELDA; Amnesties,Niamh Henry; Sanja Badanjak; Christine Bell,https://www.peaceagreements.org/tracker/afghanistan/timeline/
